equipment_tag,inspection_type,applicable_standard,last_inspection_date,next_inspection_due,overdue,days_overdue,remarks
P-101A,Vibration Analysis,OISD-118,2024-04-10,2024-10-10,false,0,scheduled
P-101A,Mechanical Seal Inspection,OISD-118,2024-01-08,2025-01-08,false,0,completed after WO
P-101B,Vibration Analysis,OISD-118,2024-04-10,2024-10-10,false,0,scheduled
E-201,Tube Bundle Inspection,OISD-116,2023-11-20,2024-11-20,false,0,scheduled
E-201,Thickness Measurement,OISD-116,2023-06-15,2024-06-15,true,24,overdue - schedule TA
V-301,Internal Inspection,OISD-118,2022-03-01,2024-03-01,true,130,overdue - tray damage found WO-2024-013
V-301,Pressure Test,OISD-118,2022-03-01,2025-03-01,false,0,next TA
C-401,Valve Plate Inspection,OISD-118,2023-08-15,2024-08-15,false,0,scheduled
C-401,Piston Rod Inspection,OISD-118,2024-01-10,2025-01-10,false,0,due soon
FV-501,Actuator Functional Test,OISD-116,2024-03-01,2024-09-01,false,0,scheduled
T-601,External Inspection,OISD-117,2023-09-12,2024-09-12,false,0,scheduled
T-601,Ultrasonic Floor Scan,OISD-117,2021-12-01,2023-12-01,true,219,overdue - roof drain issue
PSV-701,Bench Test Certification,OISD-116,2022-06-20,2024-06-20,true,20,overdue - caused INC-2024-005
PSV-701,Seat Leak Test,OISD-116,2024-04-15,2025-04-15,false,0,completed post INC-2024-005
FI-801,Pilot Thermocouple Calibration,OISD-118,2024-02-28,2024-08-28,false,0,scheduled
FI-801,Ignition System Functional Test,OISD-118,2023-11-01,2024-05-01,true,69,overdue - caused WO-2024-010
MOV-901,Partial Stroke Test,OISD-116,2024-05-20,2024-11-20,false,0,scheduled
K-1001,Antisurge Valve Calibration,OISD-118,2024-05-01,2024-11-01,false,0,scheduled
HE-1101,Fin Inspection,OISD-116,2024-06-25,2025-06-25,false,0,open - corrosion found
